ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600031.SH,20250506,19.18,19.75,19.07,19.68,18.89,0.79,4.1821,797109.1,1558058.474
600031.SH,20250507,20.1,20.1,19.51,19.69,19.68,0.01,0.0508,524204.36,1032592.016
600031.SH,20250508,19.57,19.57,19.35,19.41,19.69,-0.28,-1.422,416313.43,808769.321
600031.SH,20250509,19.41,19.8,19.37,19.72,19.41,0.31,1.5971,520687.36,1022788.072
600031.SH,20250512,19.78,20.16,19.7,20.0,19.72,0.28,1.4199,612425.39,1224229.827
600031.SH,20250513,20.09,20.19,19.81,19.92,20.0,-0.08,-0.4,442906.06,882733.307
600031.SH,20250514,19.87,19.87,19.33,19.58,19.92,-0.34,-1.7068,703918.53,1375618.539
600031.SH,20250515,19.53,19.6,19.15,19.2,19.58,-0.38,-1.9408,579659.66,1118377.691
600031.SH,20250516,19.2,19.4,19.12,19.3,19.2,0.1,0.5208,307282.87,590788.139
600031.SH,20250519,19.3,19.42,19.1,19.18,19.3,-0.12,-0.6218,380042.81,732445.467
600031.SH,20250520,19.19,19.25,18.85,18.98,19.18,-0.2,-1.0428,580140.35,1101282.723
600031.SH,20250521,18.98,19.1,18.93,19.01,18.98,0.03,0.1581,352177.2,670117.663
600031.SH,20250522,19.01,19.23,18.94,19.07,19.01,0.06,0.3156,357665.69,683478.339
600031.SH,20250523,19.13,19.3,18.86,18.91,19.07,-0.16,-0.839,453618.5,863572.501
600031.SH,20250526,18.84,18.88,18.5,18.66,18.91,-0.25,-1.3221,491582.8,915567.328
600031.SH,20250527,18.66,18.7,18.41,18.41,18.66,-0.25,-1.3398,290435.51,537941.941
600031.SH,20250528,18.47,18.63,18.44,18.5,18.41,0.09,0.4889,241774.37,447820.486
600031.SH,20250529,18.54,18.92,18.51,18.75,18.5,0.25,1.3514,394993.77,741276.872
600031.SH,20250530,18.76,18.88,18.57,18.83,18.75,0.08,0.4267,321981.83,604138.325
600031.SH,20250603,19.13,19.13,18.34,18.42,18.83,-0.41,-2.1774,678244.07,1252178.384
600031.SH,20250604,18.45,18.45,18.21,18.3,18.42,-0.12,-0.6515,455616.36,833198.052
600031.SH,20250605,18.3,18.34,18.13,18.25,18.3,-0.05,-0.2732,397261.35,724008.178
600031.SH,20250606,18.3,18.6,18.25,18.47,18.25,0.22,1.2055,411018.68,760254.551
600031.SH,20250609,18.39,18.55,18.3,18.32,18.47,-0.15,-0.8121,493317.92,907261.016
600031.SH,20250610,18.35,18.52,18.1,18.18,18.32,-0.14,-0.7642,347947.14,635331.653
600031.SH,20250611,17.98,18.05,17.82,17.91,17.82,0.09,0.5051,329087.94,591374.72
600031.SH,20250612,17.9,17.94,17.72,17.8,17.91,-0.11,-0.6142,261777.4,466753.354
600031.SH,20250613,17.77,17.87,17.66,17.79,17.8,-0.01,-0.0562,332721.44,590775.706
600031.SH,20250616,17.77,17.9,17.7,17.81,17.79,0.02,0.1124,339137.11,603938.878
600031.SH,20250617,17.89,18.17,17.88,18.03,17.81,0.22,1.2353,462329.28,834199.896
600031.SH,20250618,18.01,18.1,17.76,17.78,18.03,-0.25,-1.3866,358979.91,641468.707
600031.SH,20250619,17.79,17.81,17.38,17.44,17.78,-0.34,-1.9123,469443.76,822521.739
600031.SH,20250620,17.44,17.58,17.32,17.49,17.44,0.05,0.2867,222382.54,388409.768
600031.SH,20250623,17.4,17.7,17.32,17.66,17.49,0.17,0.972,302223.01,530607.726
600031.SH,20250624,17.69,18.06,17.68,18.0,17.66,0.34,1.9253,474206.42,851657.694
600031.SH,20250625,18.05,18.07,17.86,18.01,18.0,0.01,0.0556,432866.42,777803.023
600031.SH,20250626,18.0,18.13,17.87,17.91,18.01,-0.1,-0.5552,397516.12,713448.262
600031.SH,20250627,17.83,18.09,17.78,17.93,17.91,0.02,0.1117,341347.4,612543.948
600031.SH,20250630,17.93,18.02,17.88,17.95,17.93,0.02,0.1115,263715.93,473244.076
600031.SH,20250701,17.95,17.96,17.64,17.73,17.95,-0.22,-1.2256,433345.95,768740.996
600031.SH,20250702,17.8,18.39,17.73,18.2,17.73,0.47,2.6509,722438.96,1310444.888
600031.SH,20250703,18.2,18.21,18.07,18.16,18.2,-0.04,-0.2198,300095.68,544368.27
600031.SH,20250704,18.16,18.3,18.05,18.23,18.16,0.07,0.3855,334470.86,609161.924
600031.SH,20250707,18.25,18.38,18.1,18.35,18.23,0.12,0.6583,339773.08,621278.651
600031.SH,20250708,18.4,19.08,18.36,19.07,18.35,0.72,3.9237,1054008.44,1993706.646
600031.SH,20250709,18.99,19.21,18.89,19.11,19.07,0.04,0.2098,661952.13,1264486.865
600031.SH,20250710,19.12,19.27,18.92,18.92,19.11,-0.19,-0.9942,636371.63,1212124.453
600031.SH,20250711,18.99,19.1,18.83,18.83,18.92,-0.09,-0.4757,484331.56,917451.28
600031.SH,20250714,18.83,18.95,18.7,18.74,18.83,-0.09,-0.478,360942.98,679524.719
600031.SH,20250715,18.74,18.95,18.73,18.9,18.74,0.16,0.8538,432029.47,814099.922
600031.SH,20250716,18.83,18.89,18.63,18.71,18.9,-0.19,-1.0053,327156.32,611643.642
