ts_code,trade_date,open,high,low,close,vol,amount,pct_chg,tr,atr,entry_high,exit_low,position,trade,trade_reason,stop_line,market_return,strategy_return,strategy_nav,buy_hold_nav,drawdown
600276.SH,2025-09-02,69.8,70.77,67.8,68.87,1084489.69,7512721.689,0.7608,2.969999999999999,1.9875218247284177,68.88,61.11,1.0,0.0,,62.69005894298722,0.007607900512070387,0.007607900512070387,1.039910457983835,1.2930904994367265,0.0
600276.SH,2025-09-03,68.8,73.42,68.8,71.98,1129369.01,8078844.874,4.5158,4.6200000000000045,2.119145733491997,70.77,61.11,1.0,0.0,,62.69005894298722,0.04515754319732834,0.04515754319732834,1.0868702594115935,1.3514832895230953,0.0
600276.SH,2025-09-04,71.27,71.58,67.5,68.65,1102894.06,7625423.229,-4.6263,4.480000000000004,2.2371884468173975,73.42,61.41,1.0,0.0,,62.69005894298722,-0.046262850791886634,-0.046262850791886634,1.0365885427702959,1.2889598197521601,-0.046262850791886634
600276.SH,2025-09-05,69.0,72.98,69.0,72.47,936478.56,6663122.815,5.5645,4.329999999999998,2.3418290244765276,73.42,61.41,1.0,0.0,,62.69005894298722,0.055644573925710095,0.055644573925710095,1.0942690705690217,1.3606834397296292,0.0
600276.SH,2025-09-08,73.0,73.87,71.64,72.31,748209.28,5423039.921,-0.2208,2.230000000000004,2.3362375732527014,73.42,61.41,1.0,0.0,,62.69005894298722,-0.0022078101283289353,-0.0022078101283289353,1.0918531322319023,1.3576793090499446,-0.0022078101283289353
600276.SH,2025-09-09,72.17,74.04,70.48,71.09,767670.09,5517534.684,-1.6872,3.5600000000000023,2.3974256945900665,73.87,61.41,1.0,0.0,,62.69005894298722,-0.01687180196376714,-0.01687180196376714,1.0734316024113668,1.3347728126173497,-0.019042362356837317
600276.SH,2025-09-10,70.84,71.77,70.08,70.32,468204.13,3306783.039,-1.0831,1.6899999999999977,2.362054409860563,74.04,61.41,1.0,0.0,,62.69005894298722,-0.010831340554227187,-0.010831340554227298,1.0618048991639795,1.3203154337213676,-0.02966744859942061
600276.SH,2025-09-11,66.58,68.47,64.0,68.29,1942359.37,12928573.364,-2.8868,6.319999999999993,2.5599516893675345,74.04,61.41,1.0,0.0,,62.69005894298722,-0.028868031854379805,-0.028868031854379694,1.0311526815117773,1.28220052572287,-0.05767903960259402
600276.SH,2025-09-12,68.28,69.51,67.86,69.01,831215.21,5710845.365,1.0543,1.6500000000000057,2.514454104899158,74.04,63.03,1.0,0.0,,62.69005894298722,0.01054327134280264,0.01054327134280264,1.0420244040288145,1.2957191137814503,-0.04774389402511381
600276.SH,2025-09-15,68.85,69.69,68.26,69.1,611881.53,4225790.379,0.1304,1.4299999999999926,2.4602313996542,74.04,64.0,1.0,0.0,,62.69005894298722,0.0013041588175624064,0.0013041588175624064,1.0433833693434438,1.2974089372887725,-0.0465020008279291
600276.SH,2025-09-16,69.1,69.34,68.34,69.15,434582.05,2991348.434,0.0724,1.0,2.3872198296714897,74.04,64.0,1.0,0.0,,62.69005894298722,0.0007235890014474222,0.0007235890014474222,1.0441383500737937,1.2983477281261742,-0.04581206016282624
600276.SH,2025-09-17,69.3,70.8,69.3,70.13,586033.71,4103135.889,1.4172,1.6499999999999915,2.3503588381879146,74.04,64.0,1.0,0.0,,62.69005894298722,0.014172089660158926,0.014172089660158926,1.05893597238865,1.3167480285392419,-0.03228922312681137
600276.SH,2025-09-18,70.56,73.12,69.9,71.09,865638.88,6173830.34,1.3689,3.219999999999999,2.393840896278519,74.04,64.0,1.0,0.0,,62.69005894298722,0.013688863539141671,0.013688863539141671,1.0734316024113666,1.3347728126173495,-0.01904236235683754
600276.SH,2025-09-19,71.1,71.24,69.49,69.65,524392.42,3681125.692,-2.0256,1.75,2.361648851464593,74.04,64.0,1.0,0.0,,62.69005894298722,-0.020256013504008963,-0.020256013504008852,1.051688157377292,1.3077356365001884,-0.03891265351179807
600276.SH,2025-09-22,70.49,72.7,70.4,71.05,576542.43,4118513.261,2.0101,3.049999999999997,2.396066408891363,74.04,64.0,1.0,0.0,,62.69005894298722,0.02010050251256268,0.02010050251256268,1.0728276178270868,1.3340217799474283,-0.019594314888919717
600276.SH,2025-09-23,71.0,71.19,68.5,69.7,561329.57,3909219.697,-1.9001,2.6899999999999977,2.4107630884467945,74.04,64.0,1.0,0.0,,62.69005894298722,-0.0190007037297677,-0.0190007037297677,1.0524431381076418,1.3086744273375899,-0.03822271284669532
600276.SH,2025-09-24,69.7,70.38,69.3,70.11,395302.11,2763214.641,0.5882,1.0799999999999983,2.3442249340244548,74.04,64.0,1.0,0.0,,62.69005894298722,0.00588235294117645,0.00588235294117645,1.0586339800965103,1.3163725122042815,-0.032565199392852295
600276.SH,2025-09-25,72.4,73.08,71.55,72.27,739039.18,5347121.399,3.0809,2.969999999999999,2.375513687323232,74.04,64.0,1.0,0.0,,62.69005894298722,0.03080872913992283,0.030808729139923052,1.0912491476476225,1.356928276380023,-0.0027597626604111136
600276.SH,2025-09-26,70.8,71.37,69.23,70.08,699044.85,4900954.441,-3.0303,3.039999999999992,2.4087380029570697,74.04,67.86,1.0,0.0,,62.69005894298722,-0.030303030303030276,-0.030303030303030165,1.0581809916583007,1.3158092377018404,-0.03297916379191368
600276.SH,2025-09-29,69.79,69.79,67.76,69.2,647991.04,4442889.453,-1.2557,2.319999999999993,2.404301102809216,74.04,68.26,1.0,0.0,,62.69005894298722,-0.012557077625570678,-0.012557077625570678,1.0448933308041441,1.2992865189635754,-0.045122119497722823
600276.SH,2025-09-30,69.0,71.58,68.8,71.55,579450.78,4079739.679,3.396,2.780000000000001,2.4230860476687552,74.04,67.76,1.0,0.0,,62.69005894298722,0.03395953757225434,0.03395953757225412,1.0803774251305853,1.3434096883214426,-0.012694908237891322
