ts_code,trade_date,open,high,low,close,vol,amount,pct_chg,ma_short,ma_long,signal,trade,position,market_return,strategy_return,strategy_nav,buy_hold_nav,drawdown
600276.SH,2025-09-19,71.1,71.24,69.49,69.65,524392.42,3681125.692,-2.0256,69.824,70.03066666666668,0,0.0,0.0,-0.020256013504008963,-0.0,1.1996145063209929,1.3077356365001884,-0.03325693390368467
600276.SH,2025-09-22,70.49,72.7,70.4,71.05,576542.43,4118513.261,2.0101,70.21400000000001,70.21066666666667,1,1.0,0.0,0.02010050251256268,0.0,1.1996145063209929,1.3340217799474283,-0.03325693390368467
600276.SH,2025-09-23,71.0,71.19,68.5,69.7,561329.57,3909219.697,-1.9001,70.324,70.266,1,0.0,1.0,-0.0190007037297677,-0.0200007037297677,1.1756213719901352,1.3086744273375899,-0.052592475551484275
600276.SH,2025-09-24,69.7,70.38,69.3,70.11,395302.11,2763214.641,0.5882,70.32000000000001,70.14133333333334,1,0.0,1.0,0.00588235294117645,0.00588235294117645,1.1825367918253713,1.3163725122042815,-0.047019490113551776
600276.SH,2025-09-25,72.4,73.08,71.55,72.27,739039.18,5347121.399,3.0809,70.55600000000001,70.38266666666667,1,0.0,1.0,0.03080872913992283,0.03080872913992283,1.2189692475427125,1.356928276380023,-0.01765937170883458
600276.SH,2025-09-26,70.8,71.37,69.23,70.08,699044.85,4900954.441,-3.0303,70.642,70.22333333333334,1,0.0,1.0,-0.030303030303030276,-0.030303030303030276,1.1820307854959637,1.3158092377018404,-0.047427269535839534
600276.SH,2025-09-29,69.79,69.79,67.76,69.2,647991.04,4442889.453,-1.2557,70.27199999999999,70.016,1,0.0,1.0,-0.012557077625570678,-0.012557077625570678,1.1671879331666766,1.2992865189635754,-0.059388799256279934
600276.SH,2025-09-30,69.0,71.58,68.8,71.55,579450.78,4079739.679,3.396,70.642,70.04666666666667,1,0.0,1.0,0.03395953757225434,0.03395953757225434,1.2068250956369322,1.3434096883214426,-0.027446077843740313
600276.SH,2025-10-09,71.56,71.66,69.11,71.15,592793.4,4173571.948,-0.559,70.85,70.102,1,0.0,1.0,-0.005590496156533731,-0.005590496156533731,1.2000783445781655,1.3358993616222314,-0.032883136807576596
600276.SH,2025-10-10,70.38,70.88,67.85,68.2,706100.7,4868800.903,-4.1462,70.036,70.096,0,-1.0,1.0,-0.04146170063246668,-0.04146170063246668,1.1503210555197594,1.280510702215547,-0.07298144666587114
600276.SH,2025-10-13,66.0,68.03,65.7,66.98,532287.09,3555005.478,-1.7889,69.41600000000001,69.96066666666665,0,0.0,0.0,-0.017888563049853312,-0.001,1.1491707344642397,1.2576042057829524,-0.07390846521920524
600276.SH,2025-10-14,67.61,67.66,63.7,64.27,702946.63,4593967.583,-4.046,68.43,69.63866666666668,0,0.0,0.0,-0.04045983875783832,-0.0,1.1491707344642397,1.2067217423957948,-0.07390846521920524
600276.SH,2025-10-15,64.2,66.42,63.68,66.4,511231.63,3335928.393,3.3141,67.4,69.45533333333333,0,0.0,0.0,0.033141434572895756,0.0,1.1491707344642397,1.2467142320690958,-0.07390846521920524
600276.SH,2025-10-16,66.43,68.5,65.72,66.84,460377.57,3096812.048,0.6627,66.53800000000001,69.236,0,0.0,0.0,0.0066265060240964235,0.0,1.1491707344642397,1.2549755914382283,-0.07390846521920524
600276.SH,2025-10-17,66.85,67.4,65.0,65.1,349507.34,2298728.245,-2.6032,65.91799999999999,68.83666666666666,0,0.0,0.0,-0.026032315978456122,-0.0,1.1491707344642397,1.2223056702966586,-0.07390846521920524
600276.SH,2025-10-20,65.99,66.51,64.83,65.13,326716.94,2146357.392,0.0461,65.548,68.53533333333333,0,0.0,0.0,0.00046082949308767773,0.0,1.1491707344642397,1.2228689447990997,-0.07390846521920524
600276.SH,2025-10-21,65.5,66.58,65.14,66.0,369560.31,2436269.459,1.3358,65.89399999999999,68.19866666666667,0,0.0,0.0,0.013357899585444644,0.0,1.1491707344642397,1.2392039053698847,-0.07390846521920524
600276.SH,2025-10-22,66.25,66.79,65.01,65.26,398048.08,2610971.756,-1.1212,65.66600000000001,67.90266666666666,0,0.0,0.0,-0.011212121212121118,-0.0,1.1491707344642397,1.2253098009763437,-0.07390846521920524
600276.SH,2025-10-23,65.01,65.43,64.02,65.14,342785.26,2219041.425,-0.1839,65.326,67.57133333333334,0,0.0,0.0,-0.0018387986515476795,-0.0,1.1491707344642397,1.2230567029665802,-0.07390846521920524
600276.SH,2025-10-24,65.26,66.36,65.01,65.5,372752.77,2441099.938,0.5527,65.406,67.11999999999999,0,0.0,0.0,0.005526558182376462,0.0,1.1491707344642397,1.2298159969958706,-0.07390846521920524
600276.SH,2025-10-27,66.55,67.85,66.51,67.01,508924.92,3413538.793,2.3053,65.78200000000001,66.91533333333334,0,0.0,0.0,0.023053435114503973,0.0,1.1491707344642397,1.258167480285394,-0.07390846521920524
600276.SH,2025-10-28,65.22,65.46,63.5,63.62,1082089.99,6923383.033,-5.0589,65.30600000000001,66.54333333333334,0,0.0,0.0,-0.050589464259065964,-0.0,1.1491707344642397,1.1945174615095768,-0.07390846521920524
600276.SH,2025-10-29,63.6,64.48,62.71,64.02,562174.55,3577122.185,0.6287,65.05799999999999,66.04133333333333,0,0.0,0.0,0.0062873310279785155,0.0,1.1491707344642397,1.2020277882087882,-0.07390846521920524
600276.SH,2025-10-30,64.02,64.02,62.87,62.88,608740.0,3856500.507,-1.7807,64.606,65.49,0,0.0,0.0,-0.017806935332708385,-0.0,1.1491707344642397,1.1806233571160358,-0.07390846521920524
600276.SH,2025-10-31,63.36,65.49,63.2,64.15,837063.9,5386074.734,2.0197,64.33599999999998,65.22,0,0.0,0.0,0.02019720101781175,0.0,1.1491707344642397,1.2044686443860322,-0.07390846521920524
600276.SH,2025-11-03,64.96,64.99,62.82,63.4,460305.61,2924454.178,-1.1691,63.614,64.98133333333334,0,0.0,0.0,-0.011691348402182444,-0.0,1.1491707344642397,1.1903867818250107,-0.07390846521920524
600276.SH,2025-11-04,63.42,63.45,61.55,61.92,515609.66,3215841.267,-2.3344,63.274,64.82466666666667,0,0.0,0.0,-0.023343848580441584,-0.0,1.1491707344642397,1.1625985730379285,-0.07390846521920524
600276.SH,2025-11-05,61.3,62.49,61.22,61.96,334380.78,2074291.419,0.0646,62.862,64.52866666666667,0,0.0,0.0,0.0006459948320414188,0.0,1.1491707344642397,1.1633496057078496,-0.07390846521920524
